name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
11 Comae Berenices b,305,19.4 Jupiters,4.74,2007
11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009
14 Andromedae b,247,4.8 Jupiters,5.227,2008
14 Herculis b,59,4.66 Jupiters,6.61,2002
16 Cygni B b,69,1.78 Jupiters,6.25,1996
18 Delphini b,249,10.3 Jupiters,5.506,2008
1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008
24 Bootis b,314,0.91 Jupiters,5.58,2018
24 Sextantis b,236,1.99 Jupiters,6.441,2010
24 Sextantis c,236,0.86 Jupiters,6.441,2010
11 Comae Berenices b,305,19.4 Jupiters,4.74,2007
11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009
14 Andromedae b,247,4.8 Jupiters,5.227,2008
14 Herculis b,59,4.66 Jupiters,6.61,2002
16 Cygni B b,69,1.78 Jupiters,6.25,1996
18 Delphini b,249,10.3 Jupiters,5.506,2008
1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008
24 Bootis b,314,0.91 Jupiters,5.58,2018
24 Sextantis b,236,1.99 Jupiters,6.441,2010
24 Sextantis c,236,0.86 Jupiters,6.441,2010
11 Comae Berenices b,305,19.4 Jupiters,4.74,2007
11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009
14 Andromedae b,247,4.8 Jupiters,5.227,2008
14 Herculis b,59,4.66 Jupiters,6.61,2002
16 Cygni B b,69,1.78 Jupiters,6.25,1996
18 Delphini b,249,10.3 Jupiters,5.506,2008
1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008
24 Bootis b,314,0.91 Jupiters,5.58,2018
24 Sextantis b,236,1.99 Jupiters,6.441,2010
24 Sextantis c,236,0.86 Jupiters,6.441,2010
2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013
2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013
2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015
2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010
2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004
2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015
2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009
2MASS J22362452+4751425 b,241,12.5 Jupiters,12.51,2016
30 Arietis B b,146,13.82 Jupiters,6.962,2009
42 Draconis b,296,3.88 Jupiters,4.82,2008
47 Ursae Majoris b,45,2.53 Jupiters,5.05,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.05,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.05,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.61,2006
51 Eridani b,96,2 Jupiters,5.23,2015
51 Pegasi b,50,0.46 Jupiters,5.5,1995
55 Cancri b,41,0.8306 Jupiters,5.96,1996
55 Cancri c,41,0.1714 Jupiters,5.96,2004
55 Cancri d,41,3.878 Jupiters,5.96,2002
55 Cancri e,41,7.99 Earths,5.96,2004
55 Cancri f,41,0.141 Jupiters,5.96,2007
61 Virginis b,28,5.1 Earths,4.74,2009
61 Virginis c,28,18.2 Earths,4.74,2009
61 Virginis d,28,22.9 Earths,4.74,2009
6 Lyncis b,179,2.01 Jupiters,5.86,2008
70 Virginis b,58,7.49 Jupiters,4.97,1996
75 Ceti b,271,3 Jupiters,5.35,2012
7 Canis Majoris b,65,1.85 Jupiters,3.92,2011
7 Canis Majoris c,65,0.87 Jupiters,3.92,2019
81 Ceti b,331,5.3 Jupiters,5.65,2008
8 Ursae Minoris b,533,1.31 Jupiters,6.83,2015
91 Aquarii b,144,3.2 Jupiters,4.25,2013
AB Pictoris b,163,13.5 Jupiters,9.128,2005
Alpha Arietis b,66,1.8 Jupiters,2,2010
Alpha Tauri b,67,6.47 Jupiters,0.85,2015
AU Microscopii b,32,0.18 Jupiters,8.81,2020
BD+03 2562 b,8540,6.4 Jupiters,9.58,2017
BD-06 1339 b,66,8.5 Earths,9.7,2013
BD-06 1339 c,66,0.17 Jupiters,9.7,2013
BD-08 2823 b,135,12.7132 Earths,9.88,2009
8 Ursae Minoris b,533,1.31 Jupiters,6.83,2015
91 Aquarii b,144,3.2 Jupiters,4.25,2013
AB Pictoris b,163,13.5 Jupiters,9.128,2005
Alpha Arietis b,66,1.8 Jupiters,2,2010
Alpha Tauri b,67,6.47 Jupiters,0.85,2015
AU Microscopii b,32,0.18 Jupiters,8.81,2020
BD+03 2562 b,8540,6.4 Jupiters,9.58,2017
BD-06 1339 b,66,8.5 Earths,9.7,2013
BD-06 1339 c,66,0.17 Jupiters,9.7,2013
BD-08 2823 b,135,12.7132 Earths,9.88,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD+20 2457 c,5450,12.47 Jupiters,9.75,2009
BD+20 274 b,4514,4.2 Jupiters,9.36,2012
BD+20 594 b,588,22.2481 Earths,11.038,2016
BD+48 738 b,2910,0.91 Jupiters,9.14,2011
BD+48 740 b,2215,1.7 Jupiters,8.699,2018
BD+49 828 b,1460,1.6 Jupiters,9.38,2015
Beta Cancri b,295,7.8 Jupiters,3.53,2014
Beta Pictoris b,64,11 Jupiters,3.85,2008
Beta Pictoris c,64,9 Jupiters,3.85,2019
Beta Ursae Minoris b,127,6.1 Jupiters,2.08,2014
BD+20 2457 c,5450,12.47 Jupiters,9.75,2009
BD+20 274 b,4514,4.2 Jupiters,9.36,2012
BD+20 594 b,588,22.2481 Earths,11.038,2016
BD+48 738 b,2910,0.91 Jupiters,9.14,2011
BD+48 740 b,2215,1.7 Jupiters,8.699,2018
BD+49 828 b,1460,1.6 Jupiters,9.38,2015
Beta Cancri b,295,7.8 Jupiters,3.53,2014
Beta Pictoris b,64,11 Jupiters,3.85,2008
Beta Pictoris c,64,9 Jupiters,3.85,2019
Beta Ursae Minoris b,127,6.1 Jupiters,2.08,2014
CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
CHXR 73 b,623,12.569 Jupiters,17.293,2006
CI Tauri b,515,11.6 Jupiters,12.939,2019
CoRoT-10 b,1125,2.75 Jupiters,15.22,2010
CoRoT-11 b,1827,2.33 Jupiters,12.939,2010
CoRoT-12 b,3751,0.917 Jupiters,15.515,2010
CoRoT-13 b,3458,1.308 Jupiters,15.039,2010
CoRoT-14 b,4371,7.6 Jupiters,16.033,2010
CoRoT-16 b,2740,0.535 Jupiters,15.63,2011
CoRoT-17 b,3001,2.43 Jupiters,15.46,2011
CoRoT-18 b,2838,3.47 Jupiters,15,2011
CoRoT-19 b,2512,1.11 Jupiters,14.007,2011
CoRoT-1 b,2627,1.03 Jupiters,13.6,2008
CoRoT-20 b,2819,4.3 Jupiters,14.66,2011
CoRoT-20 c,2819,17 Jupiters,14.66,2018
CoRoT-21 b,4563,2.26 Jupiters,16,2012
CoRoT-22 b,1931,12.2 Earths,13.944,2014
CoRoT-23 b,1957,2.8 Jupiters,15.63,2011
CoRoT-24 b,1957,5.7 Earths,15.18,2014
CoRoT-24 c,1957,28 Earths,15.18,2014
CoRoT-18 b,2838,3.47 Jupiters,15,2011
CoRoT-19 b,2512,1.11 Jupiters,14.007,2011
CoRoT-1 b,2627,1.03 Jupiters,13.6,2008
CoRoT-20 b,2819,4.3 Jupiters,14.66,2011
CoRoT-20 c,2819,17 Jupiters,14.66,2018
CoRoT-21 b,4563,2.26 Jupiters,16,2012
CoRoT-22 b,1931,12.2 Earths,13.944,2014
CoRoT-23 b,1957,2.8 Jupiters,15.63,2011
CoRoT-24 b,1957,5.7 Earths,15.18,2014
CoRoT-24 c,1957,28 Earths,15.18,2014
CoRoT-25 b,3262,0.27 Jupiters,14.711,2013
CoRoT-26 b,5448,0.52 Jupiters,15.468,2013
CoRoT-27 b,3377,10.39 Jupiters,15.54,2014
CoRoT-28 b,1827,0.484 Jupiters,13.412,2015
CoRoT-29 b,2495,0.85 Jupiters,15.239,2015
CoRoT-2 b,652,3.47 Jupiters,12.57,2008
CoRoT-30 b,3132,2.9 Jupiters,15.65,2020
CoRoT-31 b,7144,0.84 Jupiters,15.465,2020
CoRoT-3 b,2218,21.66 Jupiters,13.292,2008
CoRoT-4 b,2419,0.72 Jupiters,13.561,2008
CoRoT-5 b,2951,0.467 Jupiters,13.902,2009
CoRoT-6 b,2144,2.96 Jupiters,13.912,2009
CoRoT-7 b,524,4.07661 Earths,11.668,2009
CoRoT-7 c,524,8.4 Earths,11.668,2009
CoRoT-8 b,1240,0.22 Jupiters,14.8,2010
CoRoT-9 b,1363,0.84 Jupiters,13.69,2009
CoRoTID 223977153 b,1912,0.15 Jupiters,13.587,2017
CT Chamaleontis b,538,17 Jupiters,11.773,2007
DE Canun Venaticorum b,100,12.0293 Jupiters,11.975,2018
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013
CoRoT-5 b,2951,0.467 Jupiters,13.902,2009
CoRoT-6 b,2144,2.96 Jupiters,13.912,2009
CoRoT-7 b,524,4.07661 Earths,11.668,2009
CoRoT-7 c,524,8.4 Earths,11.668,2009
CoRoT-8 b,1240,0.22 Jupiters,14.8,2010
CoRoT-9 b,1363,0.84 Jupiters,13.69,2009
CoRoTID 223977153 b,1912,0.15 Jupiters,13.587,2017
CT Chamaleontis b,538,17 Jupiters,11.773,2007
DE Canun Venaticorum b,100,12.0293 Jupiters,11.975,2018
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013
DH Tauri b,457,11 Jupiters,12.496,2004
DMPP-1 b,202,24.27 Earths,7.981,2019
DMPP-1 c,202,9.6 Earths,7.981,2019
DMPP-1 d,202,3.35 Earths,7.981,2019
DMPP-1 e,202,4.13 Earths,7.981,2019
DMPP-2 b,437,0.437 Jupiters,8.567,2019
DMPP-3 A b,160,2.58 Earths,9.066,2019
DP Leonis b,995,6.28 Jupiters,18.633,2009
DS Tucanae A b,144,1.3 Jupiters,8.469,2019
EPIC 201170410.02,437,1.15 Earths,16.439,2020
EPIC 201238110 b,522,4.16 Earths,15.261,2019
EPIC 201497682 b,831,0.26 Earths,14.102,2019
EPIC 201615463 c,1569,1.98 Earths,12.074,2019
EPIC 201754305 d,1103,1.08 Earths,14.67,2019
EPIC 201757695.02,1884,0.688 Earths,15.02,2020
EPIC 201833600 c,846,0.972 Earths,14.717,2019
EPIC 201841433 b,1442,1.12 Earths,14.867,2019
EPIC 205950854 c,801,2.27 Earths,12.291,2019
EPIC 206024342 b,1219,3.53 Earths,13.116,2019
EPIC 206032309 b,529,1.01 Earths,16.069,2019
EPIC 201238110 b,522,4.16 Earths,15.261,2019
EPIC 201497682 b,831,0.26 Earths,14.102,2019
EPIC 201615463 c,1569,1.98 Earths,12.074,2019
EPIC 201754305 d,1103,1.08 Earths,14.67,2019
EPIC 201757695.02,1884,0.688 Earths,15.02,2020
EPIC 201833600 c,846,0.972 Earths,14.717,2019
EPIC 201841433 b,1442,1.12 Earths,14.867,2019
EPIC 205950854 c,801,2.27 Earths,12.291,2019
EPIC 206024342 b,1219,3.53 Earths,13.116,2019
EPIC 206032309 b,529,1.01 Earths,16.069,2019
EPIC 206042996 b,1492,3.26 Earths,16.743,2019
EPIC 206215704 b,360,0.666 Earths,16.172,2019
EPIC 206317286 b,1035,0.84 Earths,14.051,2019
EPIC 211822797 b,611,4.58 Earths,15.256,2016
EPIC 211945201 b,596,27 Earths,10.154,2018
EPIC 212297394 b,1381,2.31 Earths,14.423,2019
EPIC 212424622 b,2031,5.35 Earths,13.354,2019
EPIC 212499991 b,932,3.19 Earths,13.552,2019
EPIC 212587672 b,1053,1.46 Earths,12.487,2019
EPIC 212737443 b,1133,7.2 Earths,14.836,2019
EPIC 212737443 c,1133,7.7 Earths,14.836,2019
EPIC 220554210 c,1638,2.79 Earths,14.042,2019
EPIC 220674823 b,803,7.72 Earths,12.102,2016
